Stock/None,,
AC Cars 427 S/C '66 (Stock),09A0,10A1F810 000009A0 
Acura CL 3.2 Type-S '01 (Stock),0952,10A1F810 00000952 
Acura CL 3.2 Type-S '03 (Stock),0893,10A1F810 00000893 
Acura INTEGRA Type-R '01 (Stock),08E4,10A1F810 000008E4 
Acura NSX '04 (Stock),0997,10A1F810 00000997 
Acura NSX '91 (Stock),09F9,10A1F810 000009F9 
Acura NSX Coupe '97 (Stock),0796,10A1F810 00000796 
Acura RSX Type-S '04 (Stock),0894,10A1F810 00000894 
Alfa Romeo 147 2.0 Twinspark '02 (Stock),0640,10A1F810 00000640 
Alfa Romeo 147 GTA '02 (Stock),0681,10A1F810 00000681 
Alfa Romeo 155 2.5 V6 TI '93 (Stock),076B,10A1F810 0000076B 
Alfa Romeo 156 2.5 V6 24V '98 (Stock),091B,10A1F810 0000091B 
Alfa Romeo 166 2.5 V6 24V '98 (Stock),0843,10A1F810 00000843 
Alfa Romeo Giulia Sprint GTA 1600 '65 (Stock),065E,10A1F810 0000065E 
Alfa Romeo Giulia Sprint Speciale '63 (Stock),0881,10A1F810 00000881 
Alfa Romeo GT 3.2 V6 24V '04 (Stock),0AB1,10A1F810 00000AB1 
Alfa Romeo GTV 3.0 V6 24V '01 (Stock),0786,10A1F810 00000786 
Alfa Romeo Spider 1600 Duetto '66 (Stock),0895,10A1F810 00000895 
Alfa Romeo Spider 3.0i V6 24V '01 (Stock),079E,10A1F810 0000079E 
Alpine A110 1600S '73 (Stock),0646,10A1F810 00000646 
Alpine A310 1600VE '73 (Stock),0896,10A1F810 00000896 
AMEMIYA ASPARADRINK RX7 (JGTC) '04 (Stock),0966,10A1F810 00000966 
AMG Mercedes 190 E 2.5 - 16 Evolution II Touring Car '92 (Stock),0768,10A1F810 00000768 
AMG Mercedes CLK-GTR Race Car '98 (Stock),0782,10A1F810 00000782 
AMUSE CarbonR (R34) '04 (Stock),09A1,10A1F810 000009A1 
AMUSE S2000 GT1 '04 (Stock),09A2,10A1F810 000009A2 
AMUSE S2000 R1 '04 (Stock),0A0A,10A1F810 00000A0A 
AMUSE S2000 Street Version '04 (Stock),0772,10A1F810 00000772 
ASL ARTA Garaiya (JGTC) '03 (Stock),06BA,10A1F810 000006BA 
ASL Garaiya '02 (Stock),0724,10A1F810 00000724 
Aston Martin DB7 Vantage Coupe '00 (Stock),07B0,10A1F810 000007B0 
Aston Martin DB9 Coupe '03 (Stock),09A6,10A1F810 000009A6 
Aston Martin V8 Vantage '99 (Stock),091C,10A1F810 0000091C 
Aston Martin Vanquish '04 (Stock),0914,10A1F810 00000914 
Audi A2 1.4 '02 (Stock),077C,10A1F810 0000077C 
Audi A3 3.2 quattro '03 (Stock),077D,10A1F810 0000077D 
Audi A3 3.2 quattro '03 (VCD Applied),0A16,10A1F810 00000A16 
Audi A4 Touring Car '04 (Stock),0964,10A1F810 00000964 
Audi Abt Audi TT-R Touring Car '02 (Stock),073F,10A1F810 0000073F 
Audi Le Mans quattro '03 (Stock),0976,10A1F810 00000976 
Audi Le Mans quattro '03 (VCD Applied),0A53,10A1F810 00000A53 
Audi Nuvolari quattro '03 (Stock),0AB3,10A1F810 00000AB3 
Audi Nuvolari quattro '03 (VCD Applied),0AB8,10A1F810 00000AB8 
Audi Pikes Peak quattro '03 (Stock),0AB4,10A1F810 00000AB4 
Audi Pikes Peak quattro '03 (VCD Applied),0AB9,10A1F810 00000AB9 
Audi quattro '82 (Stock),0882,10A1F810 00000882 
Audi quattro '82 (VCD Applied),0A58,10A1F810 00000A58 
Audi R8 Race Car '01 (Stock),09B0,10A1F810 000009B0 
Audi RS 4 '01 (Stock),07EC,10A1F810 000007EC 
Audi RS 4 '01 (VCD Applied),0A78,10A1F810 00000A78 
Audi RS 6 '02 (Stock),073D,10A1F810 0000073D 
Audi RS 6 '02 (VCD Applied),0A79,10A1F810 00000A79 
Audi RS 6 Avant '02 (Stock),07ED,10A1F810 000007ED 
Audi RS 6 Avant '02 (VCD Applied),0A7A,10A1F810 00000A7A 
Audi S3 '02 (Stock),078E,10A1F810 0000078E 
Audi S3 '02 (VCD Applied),0A7C,10A1F810 00000A7C 
Audi S4 '03 (Stock),094C,10A1F810 0000094C 
Audi S4 '03 (VCD Applied),0A7D,10A1F810 00000A7D 
Audi S4 '98 (Stock),091D,10A1F810 0000091D 
Audi S4 '98 (VCD Applied),0A7E,10A1F810 00000A7E 
Audi TT Coupe 1.8T quattro '00 (Stock),073E,10A1F810 0000073E 
Audi TT Coupe 1.8T quattro '00 (VCD Applied),0A84,10A1F810 00000A84 
Audi TT Coupe 3.2 quattro '03 (Stock),09B6,10A1F810 000009B6 
Audi TT Coupe 3.2 quattro '03 (VCD Applied),0A85,10A1F810 00000A85 
Auto Union V16 Type C Streamline '37 (Stock),0AB2,10A1F810 00000AB2 
Autobianchi A112 Abarth '79 (Stock),06D4,10A1F810 000006D4 
Bentley Speed 8 Race Car '03 (Stock),09A7,10A1F810 000009A7 
Benz Patent Motor Wagen 1886 (Stock),09C9,10A1F810 000009C9 
BLITZ ER34 D1 spec 2004 (D1GP) '04 (Stock),0955,10A1F810 00000955 
BMW 120d '04 (Stock),0789,10A1F810 00000789 
BMW 120i '04 (Stock),0717,10A1F810 00000717 
BMW 2002 Turbo '73 (Stock),09B7,10A1F810 000009B7 
BMW 320i Touring Car '03 (Stock),077F,10A1F810 0000077F 
BMW 330i '05 (Stock),0898,10A1F810 00000898 
BMW M Coupe '98 (Stock),0884,10A1F810 00000884 
BMW M3 '04 (Stock),0883,10A1F810 00000883 
BMW M3 CSL '03 (Stock),0922,10A1F810 00000922 
BMW M3 GTR Race Car '01 (Stock),0767,10A1F810 00000767 
BMW M3 GTR '03 (Stock),0828,10A1F810 00000828 
BMW M5 '05 (Stock),0958,10A1F810 00000958 
BMW McLaren F1 GTR Race Car '97 (Stock),0702,10A1F810 00000702 
BMW V12 LMR Race Car '99 (Stock),0780,10A1F810 00000780 
BMW Z4 '03 (Stock),0885,10A1F810 00000885 
BUICK GNX '87 (Stock),0829,10A1F810 00000829 
BUICK Special '62 (Stock),0927,10A1F810 00000927 
Cadillac CIEN '02 (Stock),0735,10A1F810 00000735 
Callaway C12 '03 (Stock),082A,10A1F810 0000082A 
Caterham Seven Fire Blade '02 (Stock),099D,10A1F810 0000099D 
Chaparral 2D Race Car '67 (Stock),0AAD,10A1F810 00000AAD 
Chaparral 2J Race Car '70 (Stock),0AAE,10A1F810 00000AAE 
Chevrolet Camaro IROC-Z Concept '88 (Stock),089A,10A1F810 0000089A 
Chevrolet Camaro LM Race Car '01 (Stock),07A7,10A1F810 000007A7 
Chevrolet Camaro SS '00 (Stock),0736,10A1F810 00000736 
Chevrolet Camaro SS '69 (Stock),082C,10A1F810 0000082C 
Chevrolet Camaro Z28 302 '69 (Stock),0649,10A1F810 00000649 
Chevrolet Camaro Z28 Coupe '97 (Stock),064A,10A1F810 0000064A 
Chevrolet Chevelle SS 454 '70 (Stock),064E,10A1F810 0000064E 
Chevrolet Corvette C5R (C5) '00 (Stock),0737,10A1F810 00000737 
Chevrolet Corvette Convertible (C1) '54 (Stock),077A,10A1F810 0000077A 
Chevrolet Corvette Coupe (C2) '63 (Stock),0928,10A1F810 00000928 
Chevrolet Corvette GRAND SPORT (C4) '96 (Stock),0652,10A1F810 00000652 
Chevrolet Corvette Stingray L46 350 (C3) '69 (Stock),0653,10A1F810 00000653 
Chevrolet Corvette Z06 (C2) Race Car '63 (Stock),091A,10A1F810 0000091A 
Chevrolet Corvette Z06 (C5) '00 (Stock),07AD,10A1F810 000007AD 
Chevrolet Corvette ZR-1 (C4) '90 (Stock),09A5,10A1F810 000009A5 
Chevrolet Silverado SST Concept '02 (Stock),082B,10A1F810 0000082B 
Chevrolet SSR '03 (Stock),0679,10A1F810 00000679 
Chrysler 300C '05 (Stock),0AB0,10A1F810 00000AB0 
Chrysler Crossfire '04 (Stock),0654,10A1F810 00000654 
Chrysler Prowler '02 (Stock),08E6,10A1F810 000008E6 
Chrysler PT-Cruiser '00 (Stock),07DD,10A1F810 000007DD 
Citroen 2CV Type A '54 (Stock),099E,10A1F810 0000099E 
Citroen C3 1.6 '02 (Stock),0844,10A1F810 00000844 
Citroen C5 V6 Exclusive '03 (Stock),06D5,10A1F810 000006D5 
Citroen Xantia 3.0i V6 Exclusive '00 (Stock),08E8,10A1F810 000008E8 
Citroen Xsara Rally Car '99 (Stock),0816,10A1F810 00000816 
Citroen Xsara VTR '03 (Stock),082D,10A1F810 0000082D 
Cizeta V16T '94 (Stock),089B,10A1F810 0000089B 
CUSCO SUBARU ADVAN IMPREZA(JGTC)'03 (Stock),06CC,10A1F810 000006CC 
Daihatsu Copen Active Top '02 (Stock),06BB,10A1F810 000006BB 
Daihatsu Copen Detachable Top '02 (Stock),0845,10A1F810 00000845 
Daihatsu Cuore TR-XX Avanzato R (J) '97 (Stock),0865,10A1F810 00000865 
Daihatsu Midget '63 (Stock),0A0E,10A1F810 00000A0E 
Daihatsu Midget II D-type '98 (Stock),06BC,10A1F810 000006BC 
Daihatsu MOVE Custom RS Limited '02 (Stock),089C,10A1F810 0000089C 
Daihatsu MOVE Custom RS Limited '02 (VCD Applied),0A54,10A1F810 00000A54 
Daihatsu MOVE CX '95 (Stock),08E9,10A1F810 000008E9 
Daihatsu MOVE SR-XX 2WD '97 (Stock),0978,10A1F810 00000978 
Daihatsu MOVE SR-XX 4WD '97 (Stock),0929,10A1F810 00000929 
Daihatsu MOVE SR-XX 4WD '97 (VCD Applied),0A55,10A1F810 00000A55 
Daihatsu SIRION CX 2WD (J) '98 (Stock),09FB,10A1F810 000009FB 
Daihatsu SIRION CX 4WD (J) '98 (Stock),09FC,10A1F810 000009FC 
Daihatsu SIRION CX 4WD (J) '98 (VCD Applied),0A99,10A1F810 00000A99 
Daihatsu SIRION X4 (J) '00 (Stock),087E,10A1F810 0000087E 
Daihatsu SIRION X4 (J) '00 (VCD Applied),0A9A,10A1F810 00000A9A 
Daimler Motor Carriage 1886 (Stock),09CA,10A1F810 000009CA 
DMC DeLorean S2 '04 (Stock),09FA,10A1F810 000009FA 
Dodge Charger 440 R/T '70 (Stock),0887,10A1F810 00000887 
Dodge Charger Super Bee 426 Hemi '71 (Stock),089D,10A1F810 0000089D 
Dodge RAM 1500 LARAMIE Hemi Quad Cab '04 (Stock),09B2,10A1F810 000009B2 
Dodge RAM 1500 LARAMIE Hemi Quad Cab '04 (VCD Applied),0A76,10A1F810 00000A76 
Dodge SRT4 '03 (Stock),077B,10A1F810 0000077B 
Dodge VIPER GTS '99 (Stock),08EA,10A1F810 000008EA 
Dodge VIPER GTSR Concept '00 (Stock),0738,10A1F810 00000738 
Dodge VIPER GTS-R Team Oreca Race Car '00 (Stock),0685,10A1F810 00000685 
Dodge VIPER SRT10 '03 (Stock),082F,10A1F810 0000082F 
DOME ZERO '78 (Stock),0725,10A1F810 00000725 
EAGLE Talon Esi '97 (Stock),0830,10A1F810 00000830 
Fiat 500F '65 (Stock),0645,10A1F810 00000645 
Fiat 500L '69 (Stock),0962,10A1F810 00000962 
Fiat 500R '72 (Stock),0963,10A1F810 00000963 
Fiat Barchetta Giovane Due '00 (Stock),075B,10A1F810 0000075B 
Fiat Coupe Turbo Plus '00 (Stock),0745,10A1F810 00000745 
Fiat Panda Super i.e. '90 (Stock),06D6,10A1F810 000006D6 
Fiat Punto HGT Abarth '00 (Stock),075C,10A1F810 0000075C 
Ford Escort Rally Car '98 (Stock),08EB,10A1F810 000008EB 
Ford Falcon XR8 '00 (Stock),0755,10A1F810 00000755 
Ford FOCUS Rally Car '99 (Stock),0703,10A1F810 00000703 
Ford FOCUS RS '02 (Stock),065B,10A1F810 0000065B 
Ford FOCUS ST170 '03 (Stock),09BB,10A1F810 000009BB 
Ford GT '02 (Stock),06FE,10A1F810 000006FE 
Ford GT '05 (Stock),078D,10A1F810 0000078D 
Ford GT '05 (no stripe) (Stock),0A8E,10A1F810 00000A8E 
Ford GT LM Race Car '02 (Stock),065C,10A1F810 0000065C 
Ford GT LM Race Car Spec II '04 (Stock),0A0B,10A1F810 00000A0B 
Ford GT40 Race Car '69 (Stock),073A,10A1F810 0000073A 
Ford Ka '01 (Stock),0665,10A1F810 00000665 
Ford Model T Tourer '15 (Stock),0A01,10A1F810 00000A01 
Ford Mustang GT '05 (Stock),0888,10A1F810 00000888 
Ford MUSTANG SVT Cobra R '00 (Stock),073B,10A1F810 0000073B 
Ford RS200 '84 (Stock),089E,10A1F810 0000089E 
Ford RS200 '84 (VCD Applied),0A77,10A1F810 00000A77 
Ford RS200 Rally Car '85 (Stock),089F,10A1F810 0000089F 
Ford SVT F-150 Lightning '03 (Stock),0995,10A1F810 00000995 
Ford Taurus SHO '98 (Stock),071B,10A1F810 0000071B 
Formula Gran Turismo '04 (Stock),0A11,10A1F810 00000A11 
