Stock/None,,
AC Cars 427 S/C '66 (Sports),098B,10A1F8A0 0000098B 
AC Cars 427 S/C '66 (Semi-Racing),0BA0,10A1F8A0 00000BA0 
AC Cars 427 S/C '66 (Racing),0DC4,10A1F8A0 00000DC4 
Acura CL 3.2 Type-S '01 (Sports),098C,10A1F8A0 0000098C 
Acura CL 3.2 Type-S '01 (Semi-Racing),0BA1,10A1F8A0 00000BA1 
Acura CL 3.2 Type-S '01 (Racing),0DC5,10A1F8A0 00000DC5 
Acura CL 3.2 Type-S '03 (Sports),098D,10A1F8A0 0000098D 
Acura CL 3.2 Type-S '03 (Semi-Racing),0BA2,10A1F8A0 00000BA2 
Acura CL 3.2 Type-S '03 (Racing),0DC6,10A1F8A0 00000DC6 
Acura INTEGRA Type-R '01 (Sports),098E,10A1F8A0 0000098E 
Acura INTEGRA Type-R '01 (Semi-Racing),0BA3,10A1F8A0 00000BA3 
Acura INTEGRA Type-R '01 (Racing),0DC7,10A1F8A0 00000DC7 
Acura NSX '04 (Sports),0991,10A1F8A0 00000991 
Acura NSX '04 (Semi-Racing),0BA6,10A1F8A0 00000BA6 
Acura NSX '04 (Racing),0DCA,10A1F8A0 00000DCA 
Acura NSX '91 (Sports),098F,10A1F8A0 0000098F 
Acura NSX '91 (Semi-Racing),0BA4,10A1F8A0 00000BA4 
Acura NSX '91 (Racing),0DC8,10A1F8A0 00000DC8 
Acura NSX Coupe '97 (Sports),0990,10A1F8A0 00000990 
Acura NSX Coupe '97 (Semi-Racing),0BA5,10A1F8A0 00000BA5 
Acura NSX Coupe '97 (Racing),0DC9,10A1F8A0 00000DC9 
Acura RSX Type-S '04 (Sports),0992,10A1F8A0 00000992 
Acura RSX Type-S '04 (Semi-Racing),0BA7,10A1F8A0 00000BA7 
Acura RSX Type-S '04 (Racing),0DCB,10A1F8A0 00000DCB 
Alfa Romeo 147 2.0 Twinspark '02 (Sports),0993,10A1F8A0 00000993 
Alfa Romeo 147 2.0 Twinspark '02 (Semi-Racing),0BA8,10A1F8A0 00000BA8 
Alfa Romeo 147 2.0 Twinspark '02 (Racing),0DCC,10A1F8A0 00000DCC 
Alfa Romeo 147 GTA '02 (Sports),0994,10A1F8A0 00000994 
Alfa Romeo 147 GTA '02 (Semi-Racing),0BA9,10A1F8A0 00000BA9 
Alfa Romeo 147 GTA '02 (Racing),0DCD,10A1F8A0 00000DCD 
Alfa Romeo 155 2.5 V6 TI '93 (Stock),0913,10A1F8A0 00000913 
Alfa Romeo 156 2.5 V6 24V '98 (Sports),0995,10A1F8A0 00000995 
Alfa Romeo 156 2.5 V6 24V '98 (Semi-Racing),0BAA,10A1F8A0 00000BAA 
Alfa Romeo 156 2.5 V6 24V '98 (Racing),0DCE,10A1F8A0 00000DCE 
Alfa Romeo 166 2.5 V6 24V '98 (Sports),0996,10A1F8A0 00000996 
Alfa Romeo 166 2.5 V6 24V '98 (Semi-Racing),0BAB,10A1F8A0 00000BAB 
Alfa Romeo 166 2.5 V6 24V '98 (Racing),0DCF,10A1F8A0 00000DCF 
Alfa Romeo Giulia Sprint GTA 1600 '65 (Sports),0997,10A1F8A0 00000997 
Alfa Romeo Giulia Sprint GTA 1600 '65 (Semi-Racing),0BAC,10A1F8A0 00000BAC 
Alfa Romeo Giulia Sprint GTA 1600 '65 (Racing),0DD0,10A1F8A0 00000DD0 
Alfa Romeo Giulia Sprint Speciale '63 (Sports),0998,10A1F8A0 00000998 
Alfa Romeo Giulia Sprint Speciale '63 (Semi-Racing),0BAD,10A1F8A0 00000BAD 
Alfa Romeo Giulia Sprint Speciale '63 (Racing),0DD1,10A1F8A0 00000DD1 
Alfa Romeo GT 3.2 V6 24V '04 (Sports),1183,10A1F8A0 00001183 
Alfa Romeo GT 3.2 V6 24V '04 (Semi-Racing),118B,10A1F8A0 0000118B 
Alfa Romeo GT 3.2 V6 24V '04 (Racing),1195,10A1F8A0 00001195 
Alfa Romeo GTV 3.0 V6 24V '01 (Sports),0999,10A1F8A0 00000999 
Alfa Romeo GTV 3.0 V6 24V '01 (Semi-Racing),0BAE,10A1F8A0 00000BAE 
Alfa Romeo GTV 3.0 V6 24V '01 (Racing),0DD2,10A1F8A0 00000DD2 
Alfa Romeo Spider 1600 Duetto '66 (Sports),099B,10A1F8A0 0000099B 
Alfa Romeo Spider 1600 Duetto '66 (Semi-Racing),0BB0,10A1F8A0 00000BB0 
Alfa Romeo Spider 1600 Duetto '66 (Racing),0DD4,10A1F8A0 00000DD4 
Alfa Romeo Spider 3.0i V6 24V '01 (Sports),099A,10A1F8A0 0000099A 
Alfa Romeo Spider 3.0i V6 24V '01 (Semi-Racing),0BAF,10A1F8A0 00000BAF 
Alfa Romeo Spider 3.0i V6 24V '01 (Racing),0DD3,10A1F8A0 00000DD3 
Alpine A110 1600S '73 (Sports),099C,10A1F8A0 0000099C 
Alpine A110 1600S '73 (Semi-Racing),0BB1,10A1F8A0 00000BB1 
Alpine A110 1600S '73 (Racing),0DD5,10A1F8A0 00000DD5 
Alpine A310 1600VE '73 (Sports),099D,10A1F8A0 0000099D 
Alpine A310 1600VE '73 (Semi-Racing),0BB2,10A1F8A0 00000BB2 
Alpine A310 1600VE '73 (Racing),0DD6,10A1F8A0 00000DD6 
AMEMIYA ASPARADRINK RX7 (JGTC) '04 (Stock),0953,10A1F8A0 00000953 
AMG Mercedes 190 E 2.5 - 16 Evolution II Touring Car '92 (Stock),0912,10A1F8A0 00000912 
AMG Mercedes CLK-GTR Race Car '98 (Stock),0918,10A1F8A0 00000918 
AMUSE CarbonR (R34) '04 (Stock),0974,10A1F8A0 00000974 
AMUSE S2000 GT1 '04 (Stock),0975,10A1F8A0 00000975 
AMUSE S2000 R1 '04 (Stock),096A,10A1F8A0 0000096A 
AMUSE S2000 R1 '04 (Racing),0DD8,10A1F8A0 00000DD8 
AMUSE S2000 Street Version '04 (Stock),095F,10A1F8A0 0000095F 
AMUSE S2000 Street Version '04 (Semi-Racing),0BB3,10A1F8A0 00000BB3 
AMUSE S2000 Street Version '04 (Racing),0DD7,10A1F8A0 00000DD7 
ASL ARTA Garaiya (JGTC) '03 (Stock),08E0,10A1F8A0 000008E0 
ASL Garaiya '02 (Sports),099E,10A1F8A0 0000099E 
ASL Garaiya '02 (Semi-Racing),0BB4,10A1F8A0 00000BB4 
ASL Garaiya '02 (Racing),0DD9,10A1F8A0 00000DD9 
Aston Martin DB7 Vantage Coupe '00 (Sports),099F,10A1F8A0 0000099F 
Aston Martin DB7 Vantage Coupe '00 (Semi-Racing),0BB5,10A1F8A0 00000BB5 
Aston Martin DB7 Vantage Coupe '00 (Racing),0DDA,10A1F8A0 00000DDA 
Aston Martin DB9 Coupe '03 (Sports),09A0,10A1F8A0 000009A0 
Aston Martin DB9 Coupe '03 (Semi-Racing),0BB6,10A1F8A0 00000BB6 
Aston Martin DB9 Coupe '03 (Racing),0DDB,10A1F8A0 00000DDB 
Aston Martin V8 Vantage '99 (Sports),09A1,10A1F8A0 000009A1 
Aston Martin V8 Vantage '99 (Semi-Racing),0BB7,10A1F8A0 00000BB7 
Aston Martin V8 Vantage '99 (Racing),0DDC,10A1F8A0 00000DDC 
Aston Martin Vanquish '04 (Sports),09A2,10A1F8A0 000009A2 
Aston Martin Vanquish '04 (Semi-Racing),0BB8,10A1F8A0 00000BB8 
Aston Martin Vanquish '04 (Racing),0DDD,10A1F8A0 00000DDD 
Audi A2 1.4 '02 (Sports),09A3,10A1F8A0 000009A3 
Audi A2 1.4 '02 (Semi-Racing),0BB9,10A1F8A0 00000BB9 
Audi A2 1.4 '02 (Racing),0DDE,10A1F8A0 00000DDE 
Audi A3 3.2 quattro '03 (Sports),09A4,10A1F8A0 000009A4 
Audi A3 3.2 quattro '03 (Semi-Racing),0BBA,10A1F8A0 00000BBA 
Audi A3 3.2 quattro '03 (Racing),0DDF,10A1F8A0 00000DDF 
Audi A4 Touring Car '04 (Stock),0952,10A1F8A0 00000952 
Audi Abt Audi TT-R Touring Car '02 (Stock),0905,10A1F8A0 00000905 
Audi Le Mans quattro '03 (Stock),096B,10A1F8A0 0000096B 
Audi Le Mans quattro '03 (Racing),0DE1,10A1F8A0 00000DE1 
Audi Nuvolari quattro '03 (Semi-Racing),118C,10A1F8A0 0000118C 
Audi Nuvolari quattro '03 (Racing),1196,10A1F8A0 00001196 
Audi Pikes Peak quattro '03 (Semi-Racing),118D,10A1F8A0 0000118D 
Audi Pikes Peak quattro '03 (Racing),1197,10A1F8A0 00001197 
Audi quattro '82 (Sports),09A5,10A1F8A0 000009A5 
Audi quattro '82 (Semi-Racing),0BBB,10A1F8A0 00000BBB 
Audi quattro '82 (Racing),0DE0,10A1F8A0 00000DE0 
Audi R8 Race Car '01 (Stock),0959,10A1F8A0 00000959 
Audi RS 4 '01 (Sports),09A6,10A1F8A0 000009A6 
Audi RS 4 '01 (Semi-Racing),0BBC,10A1F8A0 00000BBC 
Audi RS 4 '01 (Racing),0DE2,10A1F8A0 00000DE2 
Audi RS 6 '02 (Sports),09A7,10A1F8A0 000009A7 
Audi RS 6 '02 (Semi-Racing),0BBD,10A1F8A0 00000BBD 
Audi RS 6 '02 (Racing),0DE3,10A1F8A0 00000DE3 
Audi RS 6 Avant '02 (Sports),09A8,10A1F8A0 000009A8 
Audi RS 6 Avant '02 (Semi-Racing),0BBE,10A1F8A0 00000BBE 
Audi RS 6 Avant '02 (Racing),0DE4,10A1F8A0 00000DE4 
Audi S3 '02 (Sports),09A9,10A1F8A0 000009A9 
Audi S3 '02 (Semi-Racing),0BBF,10A1F8A0 00000BBF 
Audi S3 '02 (Racing),0DE5,10A1F8A0 00000DE5 
Audi S4 '03 (Sports),09AB,10A1F8A0 000009AB 
Audi S4 '03 (Semi-Racing),0BC1,10A1F8A0 00000BC1 
Audi S4 '03 (Racing),0DE7,10A1F8A0 00000DE7 
Audi S4 '98 (Sports),09AA,10A1F8A0 000009AA 
Audi S4 '98 (Semi-Racing),0BC0,10A1F8A0 00000BC0 
Audi S4 '98 (Racing),0DE6,10A1F8A0 00000DE6 
Audi TT Coupe 1.8T quattro '00 (Sports),09AC,10A1F8A0 000009AC 
Audi TT Coupe 1.8T quattro '00 (Semi-Racing),0BC2,10A1F8A0 00000BC2 
Audi TT Coupe 1.8T quattro '00 (Racing),0DE8,10A1F8A0 00000DE8 
Audi TT Coupe 3.2 quattro '03 (Sports),09AD,10A1F8A0 000009AD 
Audi TT Coupe 3.2 quattro '03 (Semi-Racing),0BC3,10A1F8A0 00000BC3 
Audi TT Coupe 3.2 quattro '03 (Racing),0DE9,10A1F8A0 00000DE9 
Auto Union V16 Type C Streamline '37 (Stock),117E,10A1F8A0 0000117E 
Autobianchi A112 Abarth '79 (Sports),09AE,10A1F8A0 000009AE 
Autobianchi A112 Abarth '79 (Semi-Racing),0BC4,10A1F8A0 00000BC4 
Autobianchi A112 Abarth '79 (Racing),0DEA,10A1F8A0 00000DEA 
Bentley Speed 8 Race Car '03 (Stock),0956,10A1F8A0 00000956 
BLITZ ER34 D1 spec 2004 (D1GP) '04 (Stock),0951,10A1F8A0 00000951 
BMW 120d '04 (Sports),09AF,10A1F8A0 000009AF 
BMW 120d '04 (Semi-Racing),0BC5,10A1F8A0 00000BC5 
BMW 120d '04 (Racing),0DEB,10A1F8A0 00000DEB 
BMW 120i '04 (Sports),09B0,10A1F8A0 000009B0 
BMW 120i '04 (Semi-Racing),0BC6,10A1F8A0 00000BC6 
BMW 120i '04 (Racing),0DEC,10A1F8A0 00000DEC 
BMW 2002 Turbo '73 (Sports),09B7,10A1F8A0 000009B7 
