Stock/None,,
AC Cars 427 S/C '66 (Stage 1),046E,10A1F878 0000046E 
AC Cars 427 S/C '66 (Stage 2),05E8,10A1F878 000005E8 
AC Cars 427 S/C '66 (Stage 3),076F,10A1F878 0000076F 
Acura CL 3.2 Type-S '01 (Stage 1),046F,10A1F878 0000046F 
Acura CL 3.2 Type-S '01 (Stage 2),05E9,10A1F878 000005E9 
Acura CL 3.2 Type-S '01 (Stage 3),0770,10A1F878 00000770 
Acura CL 3.2 Type-S '03 (Stage 1),0470,10A1F878 00000470 
Acura CL 3.2 Type-S '03 (Stage 2),05EA,10A1F878 000005EA 
Acura CL 3.2 Type-S '03 (Stage 3),0771,10A1F878 00000771 
Acura INTEGRA Type-R '01 (Stage 1),0471,10A1F878 00000471 
Acura INTEGRA Type-R '01 (Stage 2),05EB,10A1F878 000005EB 
Acura INTEGRA Type-R '01 (Stage 3),0772,10A1F878 00000772 
Acura NSX '04 (Stage 1),0474,10A1F878 00000474 
Acura NSX '04 (Stage 2),05EE,10A1F878 000005EE 
Acura NSX '04 (Stage 3),0775,10A1F878 00000775 
Acura NSX '91 (Stage 1),0472,10A1F878 00000472 
Acura NSX '91 (Stage 2),05EC,10A1F878 000005EC 
Acura NSX '91 (Stage 3),0773,10A1F878 00000773 
Acura NSX Coupe '97 (Stage 1),0473,10A1F878 00000473 
Acura NSX Coupe '97 (Stage 2),05ED,10A1F878 000005ED 
Acura NSX Coupe '97 (Stage 3),0774,10A1F878 00000774 
Acura RSX Type-S '04 (Stage 1),0475,10A1F878 00000475 
Acura RSX Type-S '04 (Stage 2),05EF,10A1F878 000005EF 
Acura RSX Type-S '04 (Stage 3),0776,10A1F878 00000776 
Alfa Romeo 147 2.0 Twinspark '02 (Stage 1),0476,10A1F878 00000476 
Alfa Romeo 147 2.0 Twinspark '02 (Stage 2),05F0,10A1F878 000005F0 
Alfa Romeo 147 2.0 Twinspark '02 (Stage 3),0777,10A1F878 00000777 
Alfa Romeo 147 GTA '02 (Stage 1),0477,10A1F878 00000477 
Alfa Romeo 147 GTA '02 (Stage 2),05F1,10A1F878 000005F1 
Alfa Romeo 147 GTA '02 (Stage 3),0778,10A1F878 00000778 
Alfa Romeo 156 2.5 V6 24V '98 (Stage 1),0478,10A1F878 00000478 
Alfa Romeo 156 2.5 V6 24V '98 (Stage 2),05F2,10A1F878 000005F2 
Alfa Romeo 156 2.5 V6 24V '98 (Stage 3),0779,10A1F878 00000779 
Alfa Romeo 166 2.5 V6 24V '98 (Stage 1),0479,10A1F878 00000479 
Alfa Romeo 166 2.5 V6 24V '98 (Stage 2),05F3,10A1F878 000005F3 
Alfa Romeo 166 2.5 V6 24V '98 (Stage 3),077A,10A1F878 0000077A 
Alfa Romeo Giulia Sprint GTA 1600 '65 (Stage 1),047A,10A1F878 0000047A 
Alfa Romeo Giulia Sprint GTA 1600 '65 (Stage 2),05F4,10A1F878 000005F4 
Alfa Romeo Giulia Sprint GTA 1600 '65 (Stage 3),077B,10A1F878 0000077B 
Alfa Romeo Giulia Sprint Speciale '63 (Stage 1),047B,10A1F878 0000047B 
Alfa Romeo Giulia Sprint Speciale '63 (Stage 2),05F5,10A1F878 000005F5 
Alfa Romeo Giulia Sprint Speciale '63 (Stage 3),077C,10A1F878 0000077C 
Alfa Romeo GT 3.2 V6 24V '04 (Stage 1),0A1A,10A1F878 00000A1A 
