Stock/None,,
AC Cars 427 S/C '66 ,0001,10A1F8D8 00000001 ,10A1F8DC 0000001C
Alfa Romeo 156 2.5 V6 24V '98 ,0002,10A1F8D8 00000002 ,10A1F8DC 0000001C
Alfa Romeo 166 2.5 V6 24V '98 ,0003,10A1F8D8 00000003 ,10A1F8DC 0000001C
BUICK Special '62 ,0004,10A1F8D8 00000004 ,10A1F8DC 0000001C
Cadillac CIEN '02 ,0005,10A1F8D8 00000005 ,10A1F8DC 0000001C
Callaway C12 '03 ,0006,10A1F8D8 00000006 ,10A1F8DC 0000001C
Caterham Seven Fire Blade '02 ,0007,10A1F8D8 00000007 ,10A1F8DC 0000001C
Chevrolet Camaro IROC-Z Concept '88 ,0008,10A1F8D8 00000008 ,10A1F8DC 0000001C
Chevrolet Camaro SS '00 ,000A,10A1F8D8 0000000A ,10A1F8DC 0000001C
Chevrolet Camaro SS '69 ,0009,10A1F8D8 00000009 ,10A1F8DC 0000001C
Chevrolet Camaro Z28 302 '69 ,000B,10A1F8D8 0000000B ,10A1F8DC 0000001C
Chevrolet Camaro Z28 Coupe '97 ,000C,10A1F8D8 0000000C ,10A1F8DC 0000001C
Chevrolet Chevelle SS 454 '70 ,000D,10A1F8D8 0000000D ,10A1F8DC 0000001C
Chevrolet Corvette Convertible (C1) '54 ,000E,10A1F8D8 0000000E ,10A1F8DC 0000001C
Chevrolet Corvette Coupe (C2) '63 ,000F,10A1F8D8 0000000F ,10A1F8DC 0000001C
Chevrolet Corvette GRAND SPORT (C4) '96 ,0010,10A1F8D8 00000010 ,10A1F8DC 0000001C
Chevrolet Corvette Stingray L46 350 (C3) '69 ,0011,10A1F8D8 00000011 ,10A1F8DC 0000001C
Chevrolet Corvette Z06 (C5) '00 ,0012,10A1F8D8 00000012 ,10A1F8DC 0000001C
Chevrolet Corvette ZR-1 (C4) '90 ,0013,10A1F8D8 00000013 ,10A1F8DC 0000001C
Chevrolet Silverado SST Concept '02 ,0014,10A1F8D8 00000014 ,10A1F8DC 0000001C
Chevrolet SSR '03 ,0015,10A1F8D8 00000015 ,10A1F8DC 0000001C
Chrysler 300C '05 ,0080,10A1F8D8 00000080 ,10A1F8DC 0000001C
Citroen C3 1.6 '02 ,0016,10A1F8D8 00000016 ,10A1F8DC 0000001C
Cizeta V16T '94 ,0017,10A1F8D8 00000017 ,10A1F8DC 0000001C
Dodge Charger 440 R/T '70 ,0018,10A1F8D8 00000018 ,10A1F8DC 0000001C
